,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
1781,"Hudson, New Jersey, US",13731.4,0.24810600659192122,0.17255530861800733,0.12474046079637832,0.023365551714147136
1782,"Hunterdon, New Jersey, US",300.0,0.6931471805599453,,0.21309351152980313,0.10645611426956592
1783,"Mercer, New Jersey, US",1632.2,0.41849410839291784,0.17984274882260995,0.14971289891404255,0.031061698088100352
1784,"Middlesex, New Jersey, US",2621.6,,,0.11701166989629183,0.031800842530074584
1785,"Monmouth, New Jersey, US",1344.7,0.19335442907363892,0.14933468731376887,0.09796800948902148,0.018078224903380378
1786,"Morris, New Jersey, US",1069.8,0.26715554568216476,0.276410500014821,0.135032893749989,0.038380147501737585
1787,"Ocean, New Jersey, US",917.0,0.27514229233633936,0.26123569522618684,0.10270318816663457,0.024388444042974904
1788,"Passaic, New Jersey, US",2715.3,0.19908438546978394,0.4210521281727731,0.14687315843158544,0.021638314051472485
1789,"Salem, New Jersey, US",199.1,0.17328679513998632,0.17328679513998632,0.08664339756999315,0.05780297538738535
1790,"Somerset, New Jersey, US",1071.7,0.2506228106170372,0.27652672100319026,0.14806933980860426,0.028988980228246267
1791,"Sussex, New Jersey, US",287.6,,,0.1800451977987707,0.04462053932091991
1792,"Union, New Jersey, US",5216.1,,,0.13965218456239298,0.027685043636906145
1793,"Warren, New Jersey, US",304.5,,,0.17328679513998632,0.058051476956854434
1794,"Bernalillo, New Mexico, US",570.8,0.27798716415075897,0.15901046099918278,0.10333482164805846,0.040291493550599376
1795,"Catron, New Mexico, US",0.5,0.0,0.0,0.0,0.0
1796,"Chaves, New Mexico, US",10.8,0.0,0.0,0.0,0.0
1797,"Cibola, New Mexico, US",6.0,0.0,0.0,0.0,
1798,"Colfax, New Mexico, US",3.7,0.0,0.0,0.0,0.0
1799,"Curry, New Mexico, US",34.4,0.0,0.0,0.0,0.0
1800,"De Baca, New Mexico, US",0.9,0.0,0.0,0.0,0.0
1801,"Dona Ana, New Mexico, US",55.0,0.0,0.0,0.0,
1802,"Eddy, New Mexico, US",12.9,0.0,0.0,0.0,0.0
1803,"Grant, New Mexico, US",7.4,0.0,0.0,0.0,0.0
1804,"Guadalupe, New Mexico, US",1.5,0.0,0.0,0.0,0.0
1805,"Harding, New Mexico, US",0.3,0.0,0.0,0.0,0.0
1806,"Hidalgo, New Mexico, US",1.4,0.0,0.0,0.0,0.0
1807,"Lea, New Mexico, US",14.7,0.0,0.0,0.0,0.0
1808,"Lincoln, New Mexico, US",4.2,0.0,0.0,0.0,0.0
1809,"Los Alamos, New Mexico, US",164.4,0.0,0.0,0.0,0.0
1810,"Luna, New Mexico, US",8.5,0.0,0.0,0.0,0.0
1811,"McKinley, New Mexico, US",13.1,0.0,0.0,0.0,0.0
1812,"Mora, New Mexico, US",2.5,0.0,0.0,0.0,0.0
1813,"Otero, New Mexico, US",9.6,0.0,0.0,0.0,0.0
1814,"Quay, New Mexico, US",3.1,0.0,0.0,0.0,0.0
1815,"Rio Arriba, New Mexico, US",6.9,0.0,0.0,0.0,0.0
1816,"Roosevelt, New Mexico, US",8.1,0.0,0.0,0.0,0.0
1817,"Sandoval, New Mexico, US",35.5,0.23104906018664845,0.23104906018664845,0.05068313851352055,0.05068313851352055
1818,"San Juan, New Mexico, US",23.6,0.0,0.0,0.0,
1819,"San Miguel, New Mexico, US",6.2,0.0,0.0,0.0,0.0
1820,"Santa Fe, New Mexico, US",75.5,0.0,0.0,0.0,0.0
1821,"Sierra, New Mexico, US",2.9,0.0,0.0,0.0,0.0
1822,"Socorro, New Mexico, US",2.7,0.0,0.0,0.0,0.0
1823,"Taos, New Mexico, US",15.0,0.0,0.0,0.0,0.0
1824,"Torrance, New Mexico, US",4.9,0.0,0.0,0.0,0.0
1825,"Union, New Mexico, US",1.2,0.0,0.0,0.0,0.0
1826,"Valencia, New Mexico, US",71.8,0.0,0.0,0.0,0.0
1827,"Albany, New York, US",581.9,0.29706307738283366,0.16564719004500258,0.06995197349192782,0.028762809121456356
1828,"Allegany, New York, US",47.6,0.0,0.0,0.0,0.0
1829,"Bronx, New York, US",32903.6,0.0,0.0,0.0,0.0
1830,"Broome, New York, US",284.2,0.11495985088815003,0.05705155970975556,0.05875045365571692,0.0397288125123457
1831,"Cattaraugus, New York, US",61.4,0.0,0.0,0.0,0.0
1832,"Cayuga, New York, US",115.7,0.0,0.0,0.0,0.0
1833,"Chautauqua, New York, US",127.2,0.0,0.0,0.1373265360835137,0.0939211625808158
1834,"Chemung, New York, US",218.1,0.0,0.0,0.0,0.0
1835,"Chenango, New York, US",56.5,0.0,0.0,0.0,0.0
1836,"Clinton, New York, US",79.1,0.0,0.0,0.2027325540540822,0.2027325540540822
1837,"Columbia, New York, US",99.4,0.1373265360835137,0.09392116258081579,0.1373265360835137,0.05312685409886155
